timestamp,temperature_c,humidity_pct,mq135_air_quality_ppm,ldr_light_lux,vibration_g,heat_index_c,air_light_ratio,vibration_delta,label,event
2026-01-15 08:00:00,26.935,57.793,184.443,275.444,0.01851,29.247,0.669623,0.000510,0,normal
2026-01-15 08:01:00,26.345,58.361,183.673,258.063,0.01846,28.679,0.711737,-0.000047,0,normal
2026-01-15 08:02:00,27.142,59.320,188.302,268.103,0.02095,29.515,0.702350,0.002490,0,normal
2026-01-15 08:03:00,26.599,58.181,191.584,269.425,0.01843,28.926,0.711086,-0.002528,0,normal
2026-01-15 08:04:00,27.314,56.103,183.477,282.132,0.02149,29.558,0.650323,0.003068,0,normal
2026-01-15 08:05:00,26.985,58.261,186.289,291.391,0.02245,29.315,0.639310,0.000959,0,normal
2026-01-15 08:06:00,27.367,55.954,171.958,263.663,0.02166,29.605,0.652187,-0.000790,0,normal
2026-01-15 08:07:00,27.524,58.530,178.972,298.492,0.02201,29.866,0.599587,0.000346,0,normal
2026-01-15 08:08:00,27.110,57.342,185.649,300.695,0.02055,29.404,0.617400,-0.001455,0,normal
2026-01-15 08:09:00,27.325,58.437,187.479,271.725,0.02087,29.662,0.689958,0.000316,0,normal
2026-01-15 08:10:00,26.975,58.218,183.845,339.739,0.02128,29.303,0.541137,0.000408,0,normal
2026-01-15 08:11:00,26.710,58.503,192.215,302.311,0.02134,29.050,0.635818,0.000066,0,normal
2026-01-15 08:12:00,27.865,57.430,178.000,282.313,0.02181,30.162,0.630508,0.000468,0,normal
2026-01-15 08:13:00,26.592,57.545,186.391,289.907,0.02089,28.894,0.642933,-0.000917,0,normal
2026-01-15 08:14:00,27.522,60.252,188.234,286.275,0.02025,29.932,0.657530,-0.000647,0,normal
2026-01-15 08:15:00,26.905,58.571,182.310,300.966,0.02100,29.248,0.605748,0.000750,0,normal
2026-01-15 08:16:00,26.972,57.038,175.947,281.527,0.02027,29.253,0.624974,-0.000726,0,normal
2026-01-15 08:17:00,27.503,58.784,185.071,313.921,0.01867,29.854,0.589547,-0.001599,0,normal
2026-01-15 08:18:00,27.823,58.386,186.541,288.758,0.02161,30.158,0.646013,0.002942,0,normal
2026-01-15 08:19:00,27.525,58.748,185.033,356.794,0.01944,29.875,0.518599,-0.002178,0,normal
2026-01-15 08:20:00,28.089,57.376,182.611,291.825,0.01860,30.384,0.625753,-0.000831,0,normal
2026-01-15 08:21:00,28.031,58.180,188.646,267.207,0.02084,30.358,0.705992,0.002240,0,normal
2026-01-15 08:22:00,27.659,56.502,182.074,322.249,0.02490,29.919,0.565011,0.004056,0,normal
2026-01-15 08:23:00,26.952,56.611,192.030,315.307,0.01946,29.217,0.609025,-0.005442,0,normal
2026-01-15 08:24:00,27.490,55.597,186.330,301.332,0.02154,29.714,0.618355,0.002084,0,normal
2026-01-15 08:25:00,27.466,59.788,186.644,360.809,0.02321,29.857,0.517294,0.001672,0,normal
2026-01-15 08:26:00,27.428,57.398,193.978,296.602,0.02196,29.724,0.654002,-0.001251,0,normal
2026-01-15 08:27:00,27.767,58.813,188.821,337.545,0.02009,30.120,0.559396,-0.001876,0,normal
2026-01-15 08:28:00,26.958,57.169,184.310,383.661,0.02044,29.245,0.480399,0.000358,0,normal
2026-01-15 08:29:00,27.682,55.014,183.301,347.775,0.02130,29.883,0.527069,0.000852,0,normal
2026-01-15 08:30:00,28.208,56.806,179.702,354.915,0.02007,30.480,0.506324,-0.001228,0,normal
2026-01-15 08:31:00,27.796,55.981,190.964,349.587,0.02080,30.036,0.546258,0.000731,0,normal
2026-01-15 08:32:00,28.167,57.514,186.740,397.824,0.01897,30.467,0.469403,-0.001824,0,normal
2026-01-15 08:33:00,27.479,56.880,192.731,355.882,0.02008,29.754,0.541558,0.001103,0,normal
2026-01-15 08:34:00,28.168,56.092,176.693,362.663,0.01892,30.412,0.487211,-0.001159,0,normal
2026-01-15 08:35:00,27.375,57.715,188.374,336.990,0.02007,29.684,0.558989,0.001154,0,normal
2026-01-15 08:36:00,27.579,54.853,187.610,360.688,0.02098,29.773,0.520146,0.000908,0,normal
2026-01-15 08:37:00,27.921,57.180,182.467,373.290,0.02206,30.208,0.488808,0.001079,0,normal
2026-01-15 08:38:00,27.383,57.014,185.378,417.133,0.02545,29.664,0.444411,0.003389,0,normal
2026-01-15 08:39:00,28.035,56.152,184.873,411.912,0.01803,30.281,0.448817,-0.007415,0,normal
2026-01-15 08:40:00,28.749,55.951,187.136,362.073,0.02076,30.987,0.516848,0.002728,0,normal
2026-01-15 08:41:00,27.787,56.105,186.406,329.353,0.02601,30.031,0.565977,0.005247,0,normal
2026-01-15 08:42:00,27.702,58.498,180.368,384.889,0.03066,30.042,0.468622,0.004650,0,normal
2026-01-15 08:43:00,27.404,54.575,182.680,391.635,0.02077,29.587,0.466455,-0.009886,0,normal
2026-01-15 08:44:00,28.394,56.023,177.411,374.455,0.02296,30.635,0.473784,0.002188,0,normal
2026-01-15 08:45:00,28.041,53.946,185.257,417.568,0.02651,30.199,0.443656,0.003545,0,normal
2026-01-15 08:46:00,28.103,56.628,179.240,371.038,0.01819,30.368,0.483079,-0.008319,0,normal
2026-01-15 08:47:00,28.095,56.916,183.060,367.024,0.02111,30.371,0.498768,0.002923,0,normal
2026-01-15 08:48:00,27.366,56.954,173.899,387.810,0.01980,29.644,0.448413,-0.001312,0,normal
2026-01-15 08:49:00,28.590,56.231,190.477,389.137,0.02098,30.839,0.489484,0.001178,0,normal
2026-01-15 08:50:00,27.620,57.941,190.451,411.409,0.03132,29.937,0.462924,0.010343,0,normal
2026-01-15 08:51:00,27.927,56.815,187.027,398.572,0.02726,30.199,0.469244,-0.004056,0,normal
2026-01-15 08:52:00,28.637,54.354,183.500,415.642,0.02113,30.811,0.441486,-0.006132,0,normal
2026-01-15 08:53:00,27.371,53.290,175.977,407.416,0.01841,29.502,0.431934,-0.002720,0,normal
2026-01-15 08:54:00,28.151,55.036,179.397,367.232,0.01932,30.352,0.488511,0.000904,0,normal
2026-01-15 08:55:00,28.180,57.114,189.482,410.300,0.02340,30.465,0.461813,0.004080,0,normal
2026-01-15 08:56:00,27.970,55.092,182.934,404.383,0.02666,30.174,0.452379,0.003266,0,normal
2026-01-15 08:57:00,28.120,56.148,183.736,404.295,0.01949,30.366,0.454459,-0.007176,0,normal
2026-01-15 08:58:00,28.840,55.857,183.018,409.735,0.01828,31.075,0.446675,-0.001208,0,normal
2026-01-15 08:59:00,27.517,55.624,185.872,466.074,0.02177,29.742,0.398803,0.003495,0,normal
2026-01-15 09:00:00,28.569,54.882,188.925,403.166,0.01925,30.764,0.468604,-0.002526,0,normal
2026-01-15 09:01:00,28.310,54.781,195.582,443.453,0.02561,30.501,0.441044,0.006363,0,normal
2026-01-15 09:02:00,28.389,55.175,185.602,443.952,0.01956,30.596,0.418067,-0.006049,0,normal
2026-01-15 09:03:00,27.240,54.237,189.468,465.063,0.02561,29.410,0.407402,0.006050,0,normal
2026-01-15 09:04:00,28.987,53.124,189.461,397.006,0.02445,31.112,0.477226,-0.001158,0,normal
2026-01-15 09:05:00,28.307,54.185,195.673,456.056,0.02556,30.475,0.429055,0.001110,0,normal
